Section_num,Section,Question_num,Question,Short label,Job Class,1 Strongly disagree,2 Somewhat disagree,3 Neither agree/disagree,4 Somewhat agree,5 Strongly agree,No opinion,Total Responses,Year
1,Job satisfaction,1,I enjoy working at SCCWRP.,Enjoy working here,1. Senior Management,0,0,1,0,6,0,7,2026
1,Job satisfaction,1,I enjoy working at SCCWRP.,Enjoy working here,2. Scientist/Engineer,0,1,0,5,10,0,16,2026
1,Job satisfaction,1,I enjoy working at SCCWRP.,Enjoy working here,"3. Admin, IT, comms",0,0,0,3,5,0,8,2026
1,Job satisfaction,1,I enjoy working at SCCWRP.,Enjoy working here,4. Technician,0,1,3,4,8,0,16,2026
1,Job satisfaction,2,I have a healthy work-life balance at SCCWRP.,Healthy work-life balance,1. Senior Management,0,1,1,2,3,0,7,2026
1,Job satisfaction,2,I have a healthy work-life balance at SCCWRP.,Healthy work-life balance,2. Scientist/Engineer,1,1,1,5,8,0,16,2026
1,Job satisfaction,2,I have a healthy work-life balance at SCCWRP.,Healthy work-life balance,"3. Admin, IT, comms",0,0,2,2,4,0,8,2026
1,Job satisfaction,2,I have a healthy work-life balance at SCCWRP.,Healthy work-life balance,4. Technician,2,3,2,3,6,0,16,2026
1,Job satisfaction,3,I would recommend working at SCCWRP to a friend.,Would recommend to a friend,1. Senior Management,0,0,1,1,5,0,7,2026
1,Job satisfaction,3,I would recommend working at SCCWRP to a friend.,Would recommend to a friend,2. Scientist/Engineer,0,1,2,5,8,0,16,2026
1,Job satisfaction,3,I would recommend working at SCCWRP to a friend.,Would recommend to a friend,"3. Admin, IT, comms",0,0,0,3,5,0,8,2026
1,Job satisfaction,3,I would recommend working at SCCWRP to a friend.,Would recommend to a friend,4. Technician,2,3,3,4,4,0,16,2026
1,Job satisfaction,4,I am satisfied with my career development opportunities at SCCWRP.,Career development opportunities,1. Senior Management,0,0,1,0,6,0,7,2026
1,Job satisfaction,4,I am satisfied with my career development opportunities at SCCWRP.,Career development opportunities,2. Scientist/Engineer,0,1,1,5,9,0,16,2026
1,Job satisfaction,4,I am satisfied with my career development opportunities at SCCWRP.,Career development opportunities,"3. Admin, IT, comms",1,0,1,3,2,1,8,2026
1,Job satisfaction,4,I am satisfied with my career development opportunities at SCCWRP.,Career development opportunities,4. Technician,4,1,3,3,5,0,16,2026
1,Job satisfaction,5,I feel appreciated by SCCWRP.,Feel appreciated,1. Senior Management,0,0,1,2,4,0,7,2026
1,Job satisfaction,5,I feel appreciated by SCCWRP.,Feel appreciated,2. Scientist/Engineer,0,0,2,7,7,0,16,2026
1,Job satisfaction,5,I feel appreciated by SCCWRP.,Feel appreciated,"3. Admin, IT, comms",0,0,1,3,4,0,8,2026
1,Job satisfaction,5,I feel appreciated by SCCWRP.,Feel appreciated,4. Technician,1,5,0,5,5,0,16,2026
1,Job satisfaction,6,My team/department works effectively together.,My team works well together,1. Senior Management,0,0,0,3,4,0,7,2026
1,Job satisfaction,6,My team/department works effectively together.,My team works well together,2. Scientist/Engineer,0,1,1,4,10,0,16,2026
1,Job satisfaction,6,My team/department works effectively together.,My team works well together,"3. Admin, IT, comms",0,0,2,3,3,0,8,2026
1,Job satisfaction,6,My team/department works effectively together.,My team works well together,4. Technician,0,2,1,5,8,0,16,2026
1,Job satisfaction,7,My team/department works effectively with other teams/departments.,My team works well with others,1. Senior Management,0,0,1,2,4,0,7,2026
1,Job satisfaction,7,My team/department works effectively with other teams/departments.,My team works well with others,2. Scientist/Engineer,0,0,1,7,8,0,16,2026
1,Job satisfaction,7,My team/department works effectively with other teams/departments.,My team works well with others,"3. Admin, IT, comms",1,0,0,3,4,0,8,2026
1,Job satisfaction,7,My team/department works effectively with other teams/departments.,My team works well with others,4. Technician,0,1,3,6,5,1,16,2026
